customer_id,channel,geo,start_date,end_date,carrier,profession,cancellation_reason
d26f427100f022022014ee543e7fa0e8,affiliation,CA,2018-05-22,2019-05-22,2,1000,
ed62654168d10e645bd9d322e8f3d04b,affiliation,NY,2017-09-28,2018-09-28,2,1000,
2fdb93954bea383d5d9f04953131fa5a,support,TX,2018-04-20,2019-04-20,7,5009,
97244decfbab241392b92c09d699275c,sem,OH,2018-02-05,2019-02-05,3,3000,
700bfab23906fc29bd7352ebaf368a08,email,MO,2018-03-13,2018-07-06,7,100001,I had a short-term need for insurance that has ended
0f39575cfc26eb68217dc2a98e0247f3,sem,OH,2018-05-11,2019-05-11,7,100019,
b000989f62d030e4fb417f87dbf2506b,support,CA,2018-03-21,2019-03-21,7,100002,
a825804c2101c3cede9b28d7a8ef6565,sem,MA,2018-06-09,2019-06-09,7,5003,
27dd9a21427fe985360c950d312fded6,support,OH,2018-05-09,2019-05-09,7,5006,
27dd9a21427fe985360c950d312fded6,support,OH,2018-06-01,2018-06-01,7,5006,No insurance
d03771e0d697967a09f6b3d2da364245,sem,NC,2017-07-05,2017-10-02,2,1000,Covered by employer
44edf730bfe0034024b1f9bcf7be079c,organic,CA,2018-05-03,2019-05-03,2,1000,
fed1b3b4bc68dc2f0be001abae54750e,sem,CA,2017-07-25,2018-07-25,5,5006,
ec917622b0c7af0c258d225a3b665afe,support,NJ,2018-05-29,2019-05-29,7,5003,
3a4fc259c4aa5fcc3c653b8c6d3ba4ef,unknown,CA,2017-05-09,2018-05-09,2,1000,
bed0d630201eede648709e7ccbf42b7b,sem,MI,2018-05-07,2019-05-07,7,5005,
798e29b69b5d22827ea95198001a7d6a,email,OH,2018-04-16,2018-06-16,7,100001,Non-Payment
b09071226abec667004cb59a5272f8b4,sem,OH,2018-03-16,2019-03-16,7,100001,
cf770463ed72a37c50db10c6b1006d86,sem,ME,2018-05-04,2019-05-04,7,5005,
66e3a0fcd32444ce93c9dddc75f2d604,affiliation,PA,2017-08-12,2017-12-21,2,1000,No insurance
137fcf4dd9d2ded6db32c94295a2cfe4,support,CA,2018-03-20,2018-05-20,7,100002,Non-Payment
544bf19fcfe667043204e94b3428a33e,support,TX,2017-05-17,2018-05-17,5,5006,
bd0d436f246e9d157f16819bd58a295c,support,CA,2017-07-28,2018-05-03,5,5003,No insurance
bd0d436f246e9d157f16819bd58a295c,support,CA,2017-07-27,2017-07-27,5,5006,Coverage not as expected
b86957ceac30a50a753eb9256a4508c5,sem,FL,2017-06-27,2018-06-27,2,1000,
d2c5f2de019c0eebbf5bd8dfd51e5c7a,support,NY,2017-05-22,2017-10-30,2,1000,No longer needed
b3cbf47ddb07597931e2f6dcb4c4b113,display,NE,2018-02-20,2019-02-20,2,1001,
b3cbf47ddb07597931e2f6dcb4c4b113,display,NE,2018-02-20,2019-02-20,2,1001,
28e439a71a5998bb1888da3f5efa7acf,sem,TX,2017-09-07,2018-09-07,2,1000,
282f7b7a1d7008341be637b32a2a7ac9,sem,OH,2017-01-05,2017-10-30,2,1000,No longer in business
f114e6364f1cb56a94026cf13f1ef4b3,email,PA,2018-05-10,2019-05-10,7,100001,
076da0f6bfd64128968812c0b0349249,sem,CT,2017-09-09,2018-01-09,2,1000,Non-Payment
a0a4d06f5e8873c6082a727e9be236a4,sem,CA,2018-03-20,2018-07-02,3,3000,I had a short-term need for insurance that has ended
135244452625f77f3d6d12d73c0ec428,email,NY,2017-01-13,2018-01-13,2,1000,
faaab3f3eb9f3f83be4ef6ea816c0a5f,affiliation,NY,2018-06-19,2019-06-19,2,1000,
f8afc36a1f7666a93b6a9f2f4c36728a,referrer,IL,2018-02-13,2019-02-13,2,1000,
2e8a5ccbfe26732c44cbcfe0fb29db42,email,MT,2018-05-15,2019-05-15,7,5014,
26b67b2097a9556bbfd6a3dc0ea48a40,affiliation,AZ,2018-05-15,2019-05-15,7,1000,
be9bb733e1290f309b63fa86e0c09d60,sem,MA,2018-04-03,2019-04-03,5,5006,
49c071f8ff08f5e4bf34f1ecf683b5dc,sem,IL,2018-04-15,2019-04-15,7,5005,
af13356a7ae43b9dd4055105cd9480f2,sem,FL,2017-09-18,2018-01-08,2,1000,Better Price
d0038167d7a93de675a618239ffeaa69,sem,TX,2017-09-14,2018-07-16,5,5006,Non-Payment
5d3935b9aee8352ba329f45aa1016176,unknown,MD,2017-01-18,2017-06-22,2,1000,Non-Payment
ac6a68889a6e8fceb363bf95184ad075,email,CA,2018-04-01,2019-04-01,2,1000,
aded48d4ef6f528132c920bb9d6001e6,social,TX,2017-03-06,2018-03-06,2,1000,
808797ff7fc2473d713a903c3b00c9e9,affiliation,IL,2017-12-04,2018-12-04,2,1000,
300c07964c89022e1cd20179e975524f,affiliation,TX,2017-08-11,2018-08-11,2,1000,
a02af0054d2b76a21eb9c864e28e31b9,email,MA,2017-09-02,2018-09-02,2,1000,
72e29561da4eb4205dfe8085a7dde9ec,support,OH,2018-04-07,2019-04-07,7,5005,
74dc76e91f6469ab7bb35cc26194258c,referrer,FL,2018-02-01,2018-07-08,2,1000,I don't see the value of having insurance anymore
635cf1fda211dbe0c4af4afb235e2a50,email,AZ,2018-06-03,2019-06-03,7,100008,
4fcc9dbfd10720d8f5726c45546b10b7,sem,IL,2018-03-19,2018-03-19,7,5007,Coverage Needs Changed
8d250b39f7e050377a62c6da792fcfae,sem,CO,2018-04-04,2019-04-04,7,5005,
40d6e8bda3b361c159c0024fa0c69051,sem,MI,2018-05-06,2019-05-06,7,5005,
d391498b5f5b76767c800c4bb39aa9d6,social,KS,2018-03-16,2019-03-16,2,1001,
